type,isFraud,time,day,week,amount,oldbalanceOrg,nameOrig
CASH_IN,0,10:00 AM,1,1,1398498808.8,27274908548.37,7518
CASH_IN,0,10:00 AM,2,1,1208102545.23,26190617320.06,7084
CASH_IN,0,10:00 AM,6,1,1403434634.12,27287324475.97,7678
CASH_IN,0,10:00 AM,7,1,1186542840.84,24289832526.58,6825
CASH_IN,0,10:00 AM,8,2,1170793995.87,24356703119.81,6760
CASH_IN,0,10:00 AM,9,2,1222215901.43,28543878691.14,7423
CASH_IN,0,10:00 AM,10,2,1151875050.97,23409554239.69,6252
CASH_IN,0,10:00 AM,11,2,1320554041.49,27308601143.5,7271
CASH_IN,0,10:00 AM,12,2,653819323.23,14420054952.82,4214
CASH_IN,0,10:00 AM,13,2,1259963837.74,27860611000.74,6924
CASH_IN,0,10:00 AM,14,2,1096744375.64,18746957458.51,6053
CASH_IN,0,10:00 AM,15,3,1051091341.18,20703272600.25,5961
CASH_IN,0,10:00 AM,16,3,1088561337.03,22812564197.34,6071
CASH_IN,0,10:00 AM,17,3,1198969051.59,25801143276.1,6839
CASH_IN,0,10:00 AM,19,3,53339446.5,895635586.58,350
CASH_IN,0,10:00 AM,20,3,42259435.71,551672137.0,238
CASH_IN,0,10:00 AM,21,3,172318768.05,2339203540.33,933
CASH_IN,0,10:00 AM,22,4,354774220.23,7733950856.35,2082
CASH_IN,0,10:00 AM,23,4,140715140.83,2190883274.97,858
CASH_IN,0,10:00 AM,25,4,81069209.42,1416828738.07,490
CASH_IN,0,10:00 AM,26,4,48349463.21,874817975.99,317
CASH_IN,0,10:00 PM,1,1,370032352.45,10864375174.04,2345
CASH_IN,0,10:00 PM,2,1,363260892.36,10223368550.44,2365
CASH_IN,0,10:00 PM,4,1,334714353.4,10904595308.69,2106
CASH_IN,0,10:00 PM,6,1,352211954.31,8140114370.82,2305
CASH_IN,0,10:00 PM,7,1,361132599.4,8525763122.78,2367
CASH_IN,0,10:00 PM,8,2,350253481.41,10988308025.11,2442
CASH_IN,0,10:00 PM,9,2,308560364.0,10282400180.39,2028
CASH_IN,0,10:00 PM,10,2,297635240.01,6447379808.65,1994
CASH_IN,0,10:00 PM,11,2,313422320.76,10208164901.44,2091
CASH_IN,0,10:00 PM,12,2,354621946.89,13789533930.87,2201
CASH_IN,0,10:00 PM,13,2,353202124.47,9737656562.4,2197
CASH_IN,0,10:00 PM,14,2,354216899.54,10379117699.57,2257
CASH_IN,0,10:00 PM,15,3,358172406.33,10161800325.91,2340
CASH_IN,0,10:00 PM,16,3,389190660.55,13577575837.87,2420
CASH_IN,0,10:00 PM,17,3,369486077.68,10660010054.65,2342
CASH_IN,0,10:00 PM,20,3,65717359.39,1186264201.46,399
CASH_IN,0,10:00 PM,21,3,18730360.32,508790595.69,118
CASH_IN,0,10:00 PM,22,4,81843755.51,1422852138.1,533
CASH_IN,0,10:00 PM,23,4,133809968.33,2319815796.98,824
CASH_IN,0,10:00 PM,24,4,96875686.68,1627414005.4,576
